constantId,packageIn,methodIn,methodRefClass,methodRef,codeUnit,varName,varClass,varRefClass
2131165483,com.fsck.k9.activity.setup.WelcomeMessage,onCreate,com.fsck.k9.activity.setup.WelcomeMessage,getString,$r4 = virtualinvoke $r0.<com.fsck.k9.activity.setup.WelcomeMessage: java.lang.String getString(int)>(2131165483),,,
2131492877,com.fsck.k9.activity.setup.WelcomeMessage,onCreate,com.fsck.k9.activity.setup.WelcomeMessage,findViewById,$r2 = virtualinvoke $r0.<com.fsck.k9.activity.setup.WelcomeMessage: android.view.View findViewById(int)>(2131492877),,,
2131493132,com.fsck.k9.activity.setup.WelcomeMessage,onCreate,com.fsck.k9.activity.setup.WelcomeMessage,findViewById,$r2 = virtualinvoke $r0.<com.fsck.k9.activity.setup.WelcomeMessage: android.view.View findViewById(int)>(2131493132),,,
1,com.fsck.k9.activity.MessageList,actionDisplaySearch,com.fsck.k9.activity.MessageList,actionDisplaySearch,staticinvoke <com.fsck.k9.activity.MessageList: void actionDisplaySearch(android.content.Context,com.fsck.k9.search.SearchSpecification,boolean,boolean,boolean)>($r0, $r1, $z0, $z1, 1),,,
1,com.fsck.k9.activity.MessageList,actionDisplaySearch,com.fsck.k9.activity.MessageList,actionDisplaySearch,staticinvoke <com.fsck.k9.activity.MessageList: void actionDisplaySearch(android.content.Context,com.fsck.k9.search.SearchSpecification,boolean,boolean,boolean)>($r0, $r1, $z0, $z1, 1),,,
1,com.fsck.k9.activity.MessageList,actionDisplaySearch,com.fsck.k9.activity.MessageList,actionDisplaySearch,staticinvoke <com.fsck.k9.activity.MessageList: void actionDisplaySearch(android.content.Context,com.fsck.k9.search.SearchSpecification,boolean,boolean,boolean)>($r0, $r1, $z0, $z1, 1),,,
1,com.fsck.k9.activity.MessageList,actionDisplaySearch,com.fsck.k9.activity.MessageList,actionDisplaySearch,staticinvoke <com.fsck.k9.activity.MessageList: void actionDisplaySearch(android.content.Context,com.fsck.k9.search.SearchSpecification,boolean,boolean,boolean)>($r0, $r1, $z0, $z1, 1),,,
0,com.fsck.k9.Preferences,<init>,android.content.Context,getSharedPreferences,$r5 = virtualinvoke $r1.<android.content.Context: android.content.SharedPreferences getSharedPreferences(java.lang.String,int)>("AndroidMail.Main", 0),,,
2131165482,com.fsck.k9.activity.Accounts$AccountsHandler,setViewTitle,com.fsck.k9.activity.Accounts,getString,$r3 = virtualinvoke $r1.<com.fsck.k9.activity.Accounts: java.lang.String getString(int)>(2131165482),,,
8,com.fsck.k9.activity.Accounts$AccountsHandler,setViewTitle,android.widget.TextView,setVisibility,virtualinvoke $r2.<android.widget.TextView: void setVisibility(int)>(8),,,
